[INFO 10:08:13] miguelsolorio.symbols activated
[INFO 10:08:13] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 10:08:13] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 10:08:13] 🤖 symbols.files.associations changed, updating to undefined
[INFO 10:08:14] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 10:08:14] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 10:08:14] 🤖 symbols.files.associations changed, updating to undefined
[INFO 10:08:17] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 10:08:17] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 10:08:17] 🤖 symbols.files.associations changed, updating to undefined
[INFO 10:08:17] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 10:08:17] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 10:08:17] 🤖 symbols.files.associations changed, updating to undefined
[INFO 10:09:07] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 10:09:07] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 10:09:07] 🤖 symbols.files.associations changed, updating to undefined
